,BukkenName,Price,Address,Space,Type,Belanda,Build,Line,Station,Walk,DaysAgo,City,Street,Number,Latitude,Longitude
0,インペリアルお茶の水,1380,東京都千代田区神田小川町３,14.84,ワンルーム,2.28,1980-08-01,東京メトロ千代田線,新御茶ノ水,4,15779,東京都,千代田区,神田小川町３,35.6952553,139.7620134
1,オーベル早稲田,1900,東京都新宿区若松町２８－１６,21.19,ワンルーム,1.94,1988-02-01,都営大江戸線,若松河田,2,13039,東京都,新宿区,若松町２８－１６,35.7005714,139.7184845
2,西落合ローヤルコーポ,2080,東京都新宿区西落合１-１７－１３,37.12,1LDK,5.7,1977-07-01,都営大江戸線,落合南長崎,4,16906,東京都,新宿区,西落合１-１７－１３,35.7225047,139.6807287
3,ライオンズマンション白山駅前,2280,東京都文京区白山１,26.37,ワンルーム,3.56,1986-04-01,都営三田線,白山,1,13710,東京都,文京区,白山１,35.7192057,139.7530694
4,日商岩井日本橋浜町マンション,2280,東京都中央区日本橋中洲５－１,26.42,ワンルーム,4.83,1979-09-01,東京メトロ半蔵門線,水天宮前,5,16114,東京都,中央区,日本橋中洲５－１,35.6826921,139.7900969
5,フジタ新富マンション,2350,東京都中央区新富１-６－５,27.09,ワンルーム,3.0,1980-02-01,東京メトロ有楽町線,新富町,3,15961,東京都,中央区,新富１-６－５,35.6728528,139.7734848
6,ハイムお茶の水,2470,東京都文京区本郷３-4-5,39.15,1LDK,4.27,1977-12-01,東京メトロ丸ノ内線,御茶ノ水,6,16753,東京都,文京区,本郷,35.7036954,139.7631816
7,扶桑ハイツ早稲田,2480,東京都新宿区西早稲田１-9-10,36.0,1LDK,3.3,1984-03-01,東京メトロ東西線,早稲田,8,14471,東京都,新宿区,西早稲田,35.7102622,139.7204094
8,南青山コンド,2490,東京都港区南青山２,24.33,ワンルーム,3.24,1972-08-01,東京メトロ銀座線,青山一丁目,4,18701,東京都,港区,南青山２,35.6652799,139.723053
9,富士マンション,2499,東京都渋谷区笹塚３,37.87,1LDK,3.06,1972-03-01,京王線,笹塚,8,18854,東京都,渋谷区,笹塚３,35.6779603,139.667531
10,麻布霞町マンション,2780,東京都港区西麻布４-1-1,42.33,1LDK,4.15,1966-05-01,東京メトロ日比谷線,六本木,8,20985,東京都,港区,西麻布,35.6593708,139.7232526
11,♪ADCASTセレクション！！中野坂上マンション♪,2780,東京都渋谷区本町３,36.82,1LDK,4.3,1970-05-01,都営大江戸線,西新宿五丁目,4,19524,東京都,渋谷区,本町３,35.689852,139.6828422
12,麻布霞町マンション,2780,東京都港区西麻布４-1-1,42.33,ワンルーム,4.15,1966-05-01,東京メトロ日比谷線,六本木,8,20985,東京都,港区,西麻布,35.6593708,139.7232526
13,本郷マンション,2980,東京都文京区西片１,56.62,2LDK,,1963-12-01,都営三田線,春日,3,21867,東京都,文京区,西片１,35.7128348,139.754347
14,グランドメゾン田町,2980,東京都港区芝浦２,35.34,1LDK,7.13,1983-01-01,ＪＲ山手線,田町,10,14896,東京都,港区,芝浦２,35.6446055,139.7530694
15,モナーク千駄木,2980,東京都文京区千駄木３-50-12,34.11,1LDK,6.36,1977-01-01,ＪＲ山手線,西日暮里,5,17087,東京都,文京区,千駄木,35.7305371,139.7629518
16,本郷マンション,2980,東京都文京区西片１-14-10,56.62,2LDK,,1963-12-01,都営大江戸線,春日,3,21867,東京都,文京区,西片,35.7126136,139.7533489
17,グレイス東中野,2980,東京都新宿区上落合２-26-33,34.8,1LDK,6.14,1984-08-01,東京メトロ東西線,落合,3,14318,東京都,新宿区,上落合,35.711603,139.6865609
18,西早稲田ハイツ,2980,東京都新宿区西早稲田１-18-13,42.86,1LDK,4.05,1979-11-01,東京メトロ東西線,早稲田,9,16053,東京都,新宿区,西早稲田,35.7112766,139.7195215
19,グレイス東中野,2980,東京都新宿区上落合２-26-33,34.8,1LDK,6.14,1984-08-01,ＪＲ総武線,東中野,9,14318,東京都,新宿区,上落合,35.711603,139.6865609
20,目白が丘マンション,2980,東京都新宿区下落合３-12-28,47.19,1LDK+S（納戸）,,1971-10-01,ＪＲ山手線,目白,9,19006,東京都,新宿区,下落合,35.7219134,139.6993939
21,モナーク千駄木,2980,東京都文京区千駄木３,34.11,1LDK,6.36,1977-01-01,ＪＲ山手線,西日暮里,5,17087,東京都,文京区,千駄木３,35.7273826,139.7620134
22,センチュリー新宿,2980,東京都新宿区余丁町,28.47,1K,4.18,1997-03-01,都営大江戸線,若松河田,4,9723,東京都,新宿区,余丁町,35.696307,139.7160301
23,トーア早稲田マンション,2998,東京都新宿区大久保３,34.6,1LDK,4.79,1978-09-01,東京メトロ副都心線,西早稲田,2,16479,東京都,新宿区,大久保３,35.7066016,139.7045399
24,秀和湯島レジデンス,3099,東京都文京区湯島４,35.2,1LDK,4.5,1969-10-01,東京メトロ千代田線,湯島,6,19736,東京都,文京区,湯島４,35.7094155,139.7658469
25,牛込ハイマンション,3150,東京都新宿区原町１-１６－８,40.97,2K,5.99,1970-11-01,都営大江戸線,牛込柳町,2,19340,東京都,新宿区,原町１-１６－８,35.6992529,139.7256868
26,市ケ谷春日マンション,3198,東京都新宿区市谷薬王寺町58,37.35,1LDK,,1972-03-01,都営大江戸線,牛込柳町,6,18854,東京都,新宿区,市谷薬王寺町58,35.6958463,139.7253277
27,第三弥生コーポ,3199,東京都港区高輪２-12-43,41.02,1LDK,33.0,1969-02-01,ＪＲ山手線,高輪ゲートウェイ,9,19978,東京都,港区,高輪,35.6364177,139.7363629
28,カーサ第二新宿,3199,東京都新宿区大久保１-12-3,36.56,1LDK,4.73,1974-03-01,東京メトロ副都心線,東新宿,4,18124,東京都,新宿区,大久保,35.6985348,139.7034628
29,ニューハイム田町,3199,東京都港区芝浦２-3-34,36.67,1LDK,3.49,1980-03-01,ＪＲ山手線,田町,10,15932,東京都,港区,芝浦,35.64457,139.7547263
30,秀和第一南平台レジデンス,3280,東京都渋谷区南平台町,40.5,1LDK,4.09,1969-04-01,京王井の頭線,神泉,8,19919,東京都,渋谷区,南平台町,35.65368400000001,139.6956046
31,落合マンション,3280,東京都新宿区下落合１,39.31,1LDK,8.1,1970-11-01,西武新宿線,下落合,7,19340,東京都,新宿区,下落合１,35.7158587,139.6997529
32,秀和第一南平台レジデンス,3290,東京都渋谷区南平台町12-17,40.5,1DK,6.28,1969-04-01,ＪＲ山手線,渋谷,10,19919,東京都,渋谷区,南平台町12-17,35.6539266,139.6954051
33,エクセルハイム恵比寿,3350,東京都渋谷区東３-24-14,30.54,ワンルーム,1.98,1977-09-01,ＪＲ山手線,恵比寿,4,16844,東京都,渋谷区,東,35.6494593,139.7095067
34,セブンビル,3380,東京都新宿区新宿４,31.56,1LDK,3.13,1996-11-01,ＪＲ山手線,新宿,5,9843,東京都,新宿区,新宿４,35.6887257,139.7035825
35,西早稲田ハイツ,3450,東京都新宿区西早稲田１-18-13,51.11,2LDK,5.22,1979-11-01,東京メトロ東西線,早稲田,10,16053,東京都,新宿区,西早稲田,35.7112766,139.7195215
36,六義園第五コーポ,3480,東京都文京区本駒込６-15-11,39.72,2LDK,,1974-05-01,ＪＲ山手線,駒込,4,18063,東京都,文京区,本駒込,35.7338014,139.7478593
37,ライオンズマンション文京第２,3480,東京都文京区春日１-11-16,42.95,1LDK,6.79,1982-02-01,東京メトロ丸ノ内線,後楽園,9,15230,東京都,文京区,春日,35.7098997,139.7471208
38,六義園第5コーポ,3480,東京都文京区本駒込６,42.17,2DK,,1974-05-01,東京メトロ南北線,駒込,3,18063,東京都,文京区,本駒込６,35.7318717,139.7460429
39,清水ビル,3480,東京都新宿区新宿１-17-12,54.23,2DK,,1966-12-01,東京メトロ丸ノ内線,新宿御苑前,3,20771,東京都,新宿区,新宿,35.6893104,139.7116412
40,エンゼルハイム神楽坂,3480,東京都新宿区赤城下町43,46.18,2DK,8.77,1958-04-01,東京メトロ東西線,神楽坂,4,23937,東京都,新宿区,赤城下町43,35.7059401,139.7333694
41,霞町コーポ,3499,東京都港区西麻布３,48.01,1LDK,4.07,1963-09-01,東京メトロ日比谷線,六本木,6,21958,東京都,港区,西麻布３,35.6579538,139.7262455
42,GSハイム宮益坂,3500,東京都渋谷区渋谷１,31.43,ワンルーム,3.6,1981-08-01,ＪＲ山手線,渋谷,4,15414,東京都,渋谷区,渋谷１,35.66135020000001,139.7032633
43,小日向ホームズ,3548,東京都文京区小日向１-10-16,54.36,2LDK,4.5,1973-03-01,東京メトロ有楽町線,江戸川橋,7,18489,東京都,文京区,小日向,35.7124216,139.73688
44,マリンシティ第２ダイヤモンドパレス,3580,東京都港区芝浦４,39.5,1LDK,6.59,1980-08-01,都営浅草線,泉岳寺,12,15779,東京都,港区,芝浦４,35.6400662,139.7460429
45,コーポ麹町,3580,東京都千代田区三番町,30.29,ワンルーム,1.0,1970-06-01,東京メトロ半蔵門線,半蔵門,7,19493,東京都,千代田区,三番町,35.6903762,139.7441268
46,秀和番衆町レジデンス,3580,東京都新宿区新宿５,38.14,1LDK,,1970-10-01,東京メトロ丸ノ内線,新宿三丁目,6,19371,東京都,新宿区,新宿５,35.6938641,139.7070931
47,初台中央マンション,3580,東京都渋谷区本町３-５２－５,42.3,1LDK,3.6,1971-02-01,都営大江戸線,西新宿五丁目,5,19248,東京都,渋谷区,本町３-５２－５,35.686816,139.6837594
48,秀和弥生町レジデンス,3590,東京都文京区弥生２-4-8,42.58,1DK,,1969-12-01,東京メトロ千代田線,根津,6,19675,東京都,文京区,弥生,35.7152782,139.7628519
49,秀和日本橋箱崎レジデンス,3599,東京都中央区日本橋箱崎町,36.0,1LDK,4.32,1981-07-01,東京メトロ半蔵門線,水天宮前,1,15445,東京都,中央区,日本橋箱崎町,35.6802467,139.787575
50,マリンシティダイヤモンドパレス,3699,東京都港区海岸３,39.5,1LDK,6.7,1980-03-01,ＪＲ山手線,田町,13,15932,東京都,港区,海岸３,35.6399584,139.7600967
51,マリンシティダイヤモンドパレス,3699,東京都港区海岸３-19-2,39.5,1LDK,6.7,1980-03-01,ＪＲ山手線,田町,13,15932,東京都,港区,海岸,35.6426365,139.7563034
52,マンション市谷台,3699,東京都新宿区市谷台町6-13,51.21,2LDK,4.0,1970-03-01,都営新宿線,曙橋,5,19585,東京都,新宿区,市谷台町6-13,35.6928844,139.7190227
53,中落合東豊エステート,3699,東京都新宿区中落合２,68.14,3LDK,9.72,1971-08-01,都営大江戸線,中井,9,19067,東京都,新宿区,中落合２,35.7195012,139.6924137
54,ランジェ青山,3770,東京都港区北青山１,30.54,ワンルーム,,1978-12-01,東京メトロ銀座線,青山一丁目,2,16388,東京都,港区,北青山１,35.674265,139.7211376
55,マンションVIP柏木,3780,東京都新宿区北新宿４-33-3,52.88,2LDK,8.2,1971-05-01,ＪＲ中央線,東中野,6,19159,東京都,新宿区,北新宿,35.7072274,139.6901354
56,ライオンズシティ渋谷本町,3780,東京都渋谷区本町５,44.16,1LDK,6.58,1994-02-01,都営大江戸線,西新宿五丁目,11,10847,東京都,渋谷区,本町５,35.6838459,139.676462
57,ドミール千駄木,3780,東京都文京区千駄木３-1-17,45.9,1LDK,6.37,1970-08-01,東京メトロ千代田線,千駄木,2,19432,東京都,文京区,千駄木,35.7254986,139.7620533
58,ハイネス大久保,3780,東京都新宿区北新宿２-3-21,50.98,2LDK,,1971-06-01,東京メトロ丸ノ内線,西新宿,10,19128,東京都,新宿区,北新宿,35.6990485,139.6908779
59,ザ・パークワンズ山吹神楽坂,3780,東京都新宿区山吹町,25.53,1K,4.62,2020-08-01,東京メトロ東西線,神楽坂,8,1169,東京都,新宿区,山吹町,35.7076832,139.7300768
60,柏木ハイツ,3790,東京都新宿区北新宿１-30-30,46.8,2LDK,7.38,1972-10-01,ＪＲ中央線,大久保,6,18640,東京都,新宿区,北新宿,35.7009128,139.6918271
61,柏木ハイツ,3790,東京都新宿区北新宿１-30-30,46.8,2LDK,7.38,1972-10-01,ＪＲ中央線,大久保,6,18640,東京都,新宿区,北新宿,35.7009128,139.6918271
62,パイロットハウス北新宿,3790,東京都新宿区北新宿３-２２－１０,44.9,1LDK+S（納戸）,2.7,1978-09-01,ＪＲ総武線,東中野,7,16479,東京都,新宿区,北新宿３-２２－１０,35.7031648,139.6903422
63,中銀京橋マンシオン,3799,東京都中央区入船３-1-10,40.8,1LDK,4.71,1978-01-01,東京メトロ有楽町線,新富町,1,16722,東京都,中央区,入船,35.6709117,139.7756915
64,シャンボール日本橋,3839,東京都中央区日本橋蛎殻町２-5-8,37.8,1LDK,5.1,1978-08-01,東京メトロ半蔵門線,水天宮前,1,16510,東京都,中央区,日本橋蛎殻町,35.684051,139.7856975
65,シャンボール日本橋,3839,東京都中央区日本橋蛎殻町２,37.8,1LDK,5.1,1978-08-01,東京メトロ半蔵門線,水天宮前,1,16510,東京都,中央区,日本橋蛎殻町２,35.6835939,139.7866163
66,マリンシティ第２ダイヤモンドパレス,3880,東京都港区芝浦４-17-8,39.5,1LDK,5.54,1980-08-01,都営浅草線,泉岳寺,12,15779,東京都,港区,芝浦,35.6367561,139.7480789
67,プラザーハイツ小日向,3880,東京都文京区水道２-17-1,40.62,1LDK,18.23,1986-09-01,東京メトロ有楽町線,江戸川橋,7,13557,東京都,文京区,水道,35.710493,139.73843
68,マリンシティ第２ダイヤモンドパレス,3880,東京都港区芝浦４,39.5,1LDK,6.59,1980-09-01,ＪＲ山手線,田町,16,15748,東京都,港区,芝浦４,35.6400662,139.7460429
69,代々木パールハイツ,3899,東京都渋谷区代々木１-9-6,45.63,2LDK,2.43,1980-01-01,ＪＲ山手線,代々木,6,15992,東京都,渋谷区,代々木,35.6819436,139.6973197
70,川口アパートメント,3980,東京都文京区春日２,71.61,2LDK,,1964-09-01,東京メトロ南北線,後楽園,10,21592,東京都,文京区,春日２,35.7122976,139.741572
71,マンション牛込,3980,東京都新宿区原町１-４０－１,49.92,1LDK,8.0,1968-04-01,都営大江戸線,牛込柳町,3,20284,東京都,新宿区,原町１-４０－１,35.7007066,139.7256469
72,市ヶ谷ローヤルコーポ,3980,東京都新宿区南町１５,48.73,1LDK,4.7,1976-04-01,都営大江戸線,牛込神楽坂,6,17362,東京都,新宿区,南町１５,35.6979157,139.7353052
73,ハイネス早稲田～即日内覧可能～,3980,東京都新宿区西早稲田２,51.82,2LDK,,1981-06-01,東京メトロ東西線,早稲田,5,15475,東京都,新宿区,西早稲田２,35.7083135,139.7137957
74,三田スカイハイツ,3980,東京都港区三田２,38.77,1K,5.31,1977-10-01,東京メトロ南北線,白金高輪,10,16814,東京都,港区,三田２,35.6494981,139.7409333
75,牛込中央マンション,3990,東京都新宿区弁天町150,55.27,2LDK,3.3,1967-05-01,都営大江戸線,牛込柳町,5,20620,東京都,新宿区,弁天町150,35.7019972,139.7256469
76,ライオンズマンション護国寺第2,3999,東京都文京区大塚５,40.13,1LDK,2.35,1983-01-01,東京メトロ丸ノ内線,新大塚,3,14896,東京都,文京区,大塚５,35.7223986,139.7281611
77,柏木ローズマンション,4080,東京都新宿区北新宿３-10-10,57.0,3DK,8.1,1973-04-01,ＪＲ総武線,大久保,8,18458,東京都,新宿区,北新宿,35.7019357,139.6902782
78,早稲田スカイマンション,4080,東京都新宿区早稲田鶴巻町111-9,66.54,3LDK,17.41,1970-10-01,東京メトロ東西線,早稲田,6,19371,東京都,新宿区,早稲田鶴巻町111-9,35.7083233,139.7235918
79,サンサーラ御苑,4099,東京都新宿区新宿１,44.28,2DK,8.1,1980-11-01,東京メトロ丸ノ内線,新宿御苑前,3,15687,東京都,新宿区,新宿１,35.6890329,139.7121998
80,麹町ロイヤルマンション,4180,東京都千代田区麹町４-7-5,34.32,1DK,4.68,1971-11-01,東京メトロ有楽町線,麹町,2,18975,東京都,千代田区,麹町,35.6837077,139.735688
81,ラ・コスタ新宿余丁町,4180,東京都新宿区余丁町7-2,33.46,1DK,6.18,2011-01-01,都営大江戸線,若松河田,6,4669,東京都,新宿区,余丁町7-2,35.6970556,139.7142346
82,ライオンズマンション護国寺第五,4198,東京都文京区音羽２,42.35,1LDK,5.5,1984-12-01,東京メトロ有楽町線,護国寺,1,14196,東京都,文京区,音羽２,35.71927480000001,139.7275226
83,朝日関口マンション,4199,東京都文京区関口１,43.39,2LDK,5.4,1982-11-01,東京メトロ有楽町線,江戸川橋,3,14957,東京都,文京区,関口１,35.7098188,139.7303961
84,アトラス白山,4200,東京都文京区本駒込１-1-27,31.68,1DK,5.07,2008-01-01,東京メトロ南北線,本駒込,2,5765,東京都,文京区,本駒込,35.7230104,139.7533489
85,パラスト新宿余丁町,4280,東京都新宿区余丁町8-12,40.04,1LDK,6.8,1985-08-01,都営大江戸線,若松河田,4,13953,東京都,新宿区,余丁町8-12,35.6976139,139.7145538
86,いつでも内見可能です♪【コーポ小石川】５階フルリノベ…,4280,東京都文京区小石川３,53.07,1LDK+S（納戸）,6.0,1970-05-01,東京メトロ丸ノ内線,茗荷谷,10,19524,東京都,文京区,小石川３,35.713201,139.7466817
87,ライオンズマンション新宿原町,4290,東京都新宿区原町３-84-33,42.66,1LDK,5.99,1983-11-01,都営大江戸線,牛込柳町,3,14592,東京都,新宿区,原町,35.6990719,139.7223457
88,グランテラッセ西早稲田,4290,東京都新宿区西早稲田３,53.0,2LDK,6.73,1979-10-01,ＪＲ山手線,高田馬場,14,16084,東京都,新宿区,西早稲田３,35.7113392,139.7134765
89,上新ハイツ白山,4299,東京都文京区白山４,57.27,2LDK,,1977-08-01,都営三田線,白山,2,16875,東京都,文京区,白山４,35.7212312,139.7466817
90,クイーンハイツ三田,4300,東京都港区三田３,48.38,2DK,4.55,1978-12-01,都営三田線,三田,6,16388,東京都,港区,三田３,35.6439523,139.7428494
91,田町東豊エステート,4390,東京都港区芝浦２,48.84,2LDK,3.36,1979-03-01,ＪＲ山手線,田町,8,16298,東京都,港区,芝浦２,35.6446055,139.7530694
92,西新宿ダイヤモンドパレス,4480,東京都新宿区西新宿３-5-3,48.84,2LDK,8.0,1981-07-01,都営大江戸線,都庁前,5,15445,東京都,新宿区,西新宿,35.6866807,139.6924828
93,恵比寿フラワーマンション,4480,東京都渋谷区恵比寿西１-16-2,52.79,1LDK,,1968-07-01,ＪＲ山手線,恵比寿,5,20193,東京都,渋谷区,恵比寿西,35.6488217,139.7074721
94,恵比寿フラワーマンション,4480,東京都渋谷区恵比寿西１,52.79,1LDK,,1968-07-01,ＪＲ山手線,恵比寿,5,20193,東京都,渋谷区,恵比寿西１,35.6474575,139.7058165
95,ライオンズマンション新宿原町,4480,東京都新宿区原町３-84-33,52.8,2LDK,6.58,1983-11-01,都営大江戸線,牛込柳町,3,14592,東京都,新宿区,原町,35.6990719,139.7223457
96,ハイツ第二参宮橋,4480,東京都渋谷区代々木３,42.95,1LDK,3.55,1979-04-01,小田急線,南新宿,6,16267,東京都,渋谷区,代々木３,35.6829997,139.6943282
97,代々木コーポラス,4480,東京都渋谷区代々木３,49.14,2LDK,4.86,1968-09-01,都営大江戸線,代々木,9,20131,東京都,渋谷区,代々木３,35.6829997,139.6943282
98,共栄デューク高輪,4480,東京都港区高輪３,42.63,2DK,,1982-03-01,都営三田線,白金高輪,10,15202,東京都,港区,高輪３,35.6326476,139.7332697
99,市ヶ谷富久町シティハウス,4490,東京都新宿区富久町34-13,49.72,2DK,,1981-04-01,東京メトロ丸ノ内線,新宿御苑前,9,15536,東京都,新宿区,富久町34-13,35.6942028,139.7129778
100,シティ田町,4498,東京都港区芝浦２,46.26,1LDK,6.84,1982-04-01,ＪＲ山手線,田町,10,15171,東京都,港区,芝浦２,35.6446055,139.7530694
101,田町東豊エステート,4498,東京都港区芝浦２,48.84,2DK,3.36,1979-04-01,ＪＲ山手線,田町,9,16267,東京都,港区,芝浦２,35.6446055,139.7530694
102,市ヶ谷見附ハイム,4499,東京都新宿区市谷八幡町,51.49,2LDK,7.8,1971-11-01,東京メトロ有楽町線,市ケ谷,3,18975,東京都,新宿区,市谷八幡町,35.6924277,139.7342276
103,月島ローヤルコーポ,4580,東京都中央区月島４-20-1,53.38,1LDK,8.1,1979-04-01,都営大江戸線,勝どき,4,16267,東京都,中央区,月島,35.6591496,139.7807242
104,小石川ハイム,4580,東京都文京区小石川２-23-14,62.17,2LDK,7.72,1978-10-01,東京メトロ丸ノ内線,後楽園,2,16449,東京都,文京区,小石川,35.7109176,139.7511879
105,リレント新宿,4580,東京都新宿区新宿６,39.64,1LDK,7.5,1983-06-01,都営大江戸線,東新宿,6,14745,東京都,新宿区,新宿６,35.6960369,139.7096464
106,エスタシオン月島,4580,東京都中央区佃３,55.48,1LDK,5.28,2003-04-01,東京メトロ有楽町線,月島,3,7501,東京都,中央区,佃３,35.6654475,139.7863615
107,ルシェール赤坂,4580,東京都港区赤坂６,31.52,1DK,4.12,1997-11-01,東京メトロ千代田線,赤坂,4,9478,東京都,港区,赤坂６,35.669575,139.7351855
108,菱和パレス渋谷西,4599,東京都渋谷区神泉町22-7,34.51,1DK,4.39,1998-12-01,京王井の頭線,神泉,4,9083,東京都,渋谷区,神泉町22-7,35.655964,139.6915961
109,初穂マンション中落合,4599,東京都新宿区中落合３,50.76,2LDK,5.03,1985-01-01,都営大江戸線,落合南長崎,4,14165,東京都,新宿区,中落合３,35.7217178,139.6879468
110,菱和パレス渋谷西,4599,東京都渋谷区神泉町,34.51,1DK,4.39,1998-12-01,京王井の頭線,神泉,4,9083,東京都,渋谷区,神泉町,35.656833,139.6927328
111,グリーンヒル新宿,4600,東京都新宿区新宿７-２６－５３,56.06,2LDK,,1969-05-01,東京メトロ副都心線,東新宿,5,19889,東京都,新宿区,新宿７-２６－５３,35.699147,139.7094469
112,ルジェンテ・リベル日本橋濱町,4650,東京都中央区日本橋浜町３-29-10,40.45,1LDK,,2010-05-01,都営新宿線,浜町,5,4914,東京都,中央区,日本橋浜町,35.685124,139.7903915
113,秀和幡ケ谷レジデンス,4650,東京都渋谷区幡ヶ谷１,55.68,2LDK,,1974-11-01,京王新線,幡ヶ谷,3,17879,東京都,渋谷区,幡ヶ谷１,35.6747915,139.6739102
114,三田ハイデンス,4680,東京都港区芝４-5-9,40.17,1LDK,4.38,1980-11-01,都営三田線,三田,3,15687,東京都,港区,芝,35.6487774,139.7511759
115,早稲田スカイマンション,4680,東京都新宿区早稲田鶴巻町,66.54,3LDK,17.41,1970-10-01,東京メトロ東西線,早稲田,6,19371,東京都,新宿区,早稲田鶴巻町,35.7079263,139.7249685
116,【いつでも内覧可能】100㎡以上のメゾネットマンショ…,4680,東京都文京区本郷４,114.63,4LDK,,1981-01-01,東京メトロ丸ノ内線,本郷三丁目,3,15626,東京都,文京区,本郷４,35.708758,139.7556247
117,広尾フラワーホーム,4698,東京都渋谷区広尾５,45.43,1LDK,6.24,1971-03-01,東京メトロ日比谷線,広尾,4,19220,東京都,渋谷区,広尾５,35.6496526,139.7198607
118,薬王寺ニューハイツ,4699,東京都新宿区市谷薬王寺町53,54.54,3LDK,6.93,1979-11-01,都営大江戸線,牛込柳町,6,16053,東京都,新宿区,市谷薬王寺町53,35.6957053,139.7246896
119,薬王寺ニューハイツ,4699,東京都新宿区市谷薬王寺町,54.54,2LDK,6.93,1979-11-01,都営大江戸線,牛込柳町,6,16053,東京都,新宿区,市谷薬王寺町,35.6969677,139.7262455
120,チサンマンション南麻布,4750,東京都港区南麻布２,45.83,2DK,5.0,1978-11-01,東京メトロ南北線,白金高輪,7,16418,東京都,港区,南麻布２,35.6489146,139.7351855
121,チサンマンション南麻布,4750,東京都港区南麻布２,45.83,1LDK,5.0,1978-11-01,東京メトロ南北線,白金高輪,10,16418,東京都,港区,南麻布２,35.6489146,139.7351855
122,オープンレジデンシア小石川五丁目,4780,東京都文京区小石川５,40.0,1LDK,,2017-09-01,東京メトロ丸ノ内線,茗荷谷,6,2234,東京都,文京区,小石川５,35.7175206,139.7402946
123,オープンレジデンシア小石川五丁目,4780,東京都文京区小石川５-14-21,40.0,1LDK,,2017-09-01,東京メトロ丸ノ内線,茗荷谷,6,2234,東京都,文京区,小石川,35.7177036,139.7402148
124,朝日南麻布マンション,4780,東京都港区南麻布１-7-24,44.97,1LDK,6.31,1978-02-01,都営大江戸線,麻布十番,5,16691,東京都,港区,南麻布,35.650363,139.7373209
125,デュオスカーラ西新宿Ⅱ,4780,東京都新宿区西新宿４,41.97,1LDK,4.62,2003-03-01,都営大江戸線,西新宿五丁目,5,7532,東京都,新宿区,西新宿４,35.6879506,139.6866706
126,赤坂桧町レジデンス,4790,東京都港区赤坂８-13-24,45.02,2DK,,1970-09-01,東京メトロ千代田線,乃木坂,6,19401,東京都,港区,赤坂,35.6694752,139.7309149
127,秀和参宮橋レジデンス,4790,東京都渋谷区代々木４,50.94,2LDK,,1968-09-01,小田急線,参宮橋,4,20131,東京都,渋谷区,代々木４,35.6803138,139.6904993
128,原宿インペリアルハイツ,4790,東京都渋谷区神宮前２-30-10,47.65,1LDK,5.27,1968-10-01,東京メトロ副都心線,北参道,7,20101,東京都,渋谷区,神宮前,35.673688,139.7093871
129,サンパークマンション千代田,4799,東京都千代田区飯田橋２-9-4,39.75,1LDK,5.3,1982-06-01,東京メトロ東西線,飯田橋,2,15110,東京都,千代田区,飯田橋,35.6999699,139.7486966
130,ルモンド南麻布,4850,東京都港区南麻布２,31.84,1DK,3.96,2001-02-01,東京メトロ南北線,麻布十番,7,8290,東京都,港区,南麻布２,35.6489146,139.7351855
131,ベルジェンド文京千駄木ノーブル,4880,東京都文京区千駄木４,40.41,1LDK,4.25,2015-01-01,ＪＲ山手線,西日暮里,8,3208,東京都,文京区,千駄木４,35.7307875,139.7597773
132,マンション三田,4899,東京都港区三田５,44.81,1LDK,5.82,1975-05-01,東京メトロ南北線,白金高輪,7,17698,東京都,港区,三田５,35.6464953,139.73774
133,ライオンズマンション乃木坂,4899,東京都港区赤坂８,37.02,1K,4.08,1998-10-01,東京メトロ千代田線,乃木坂,4,9144,東京都,港区,赤坂８,35.6710904,139.7275226
134,秀和元麻布レジデンス,4950,東京都港区元麻布１-1-18,44.3,ワンルーム,5.0,1978-01-01,都営大江戸線,麻布十番,5,16722,東京都,港区,元麻布,35.6556258,139.7325113
135,パークタワー勝どきミッド,4980,東京都中央区勝どき４-6-2,25.23,1K,6.0,2023-08-01,都営大江戸線,勝どき,1,74,東京都,中央区,勝どき,35.6569392,139.7780281
136,麻布十番中央マンション,4980,東京都港区麻布十番２,52.57,1LDK,,1967-05-01,東京メトロ南北線,麻布十番,6,20620,東京都,港区,麻布十番２,35.6550691,139.7355048
137,トーカン元代々木マンション,4980,東京都渋谷区元代々木町39-3,46.64,1LDK,5.5,1978-06-01,東京メトロ千代田線,代々木公園,7,16571,東京都,渋谷区,元代々木町39-3,35.67216519999999,139.6858331
138,エルビラ　４階,4980,東京都渋谷区千駄ヶ谷５,53.51,1LDK,5.8,1974-03-01,ＪＲ中央線,千駄ケ谷,5,18124,東京都,渋谷区,千駄ヶ谷５,35.6842959,139.7032633
139,イトーピア音羽,4980,東京都文京区音羽１-１６－２,50.46,1LDK,6.03,1985-09-01,東京メトロ有楽町線,護国寺,3,13922,東京都,文京区,音羽１-１６－２,35.7162719,139.7292349
140,ミディアススカイコート赤坂,4980,東京都港区赤坂２,41.88,1K,,2003-09-01,東京メトロ千代田線,赤坂,6,7348,東京都,港区,赤坂２,35.6711124,139.7390173
141,飯田橋第２パークファミリア,4980,東京都新宿区新小川町,57.52,3DK,6.63,1980-02-01,ＪＲ総武線,飯田橋,10,15961,東京都,新宿区,新小川町,35.7059269,139.7428494
142,エルビラ,4980,東京都渋谷区千駄ヶ谷５,53.51,1LDK,5.8,1974-03-01,ＪＲ中央線,千駄ケ谷,5,18124,東京都,渋谷区,千駄ヶ谷５,35.6842959,139.7032633
