,BukkenName,Price,Address,Space,Type,Belanda,Build,Line,Station,Walk,DaysAgo,City,Street,Number,Latitude,Longitude
2189,モナーク千駄木,3980,東京都文京区千駄木３,44.91,1LDK,7.45,1977-01-01,ＪＲ山手線,西日暮里,5,17087,東京都,文京区,千駄木３,35.7273826,139.7620134
2190,越前堀永谷マンション,3980,東京都中央区新川１,43.09,2LDK,,1974-08-01,東京メトロ日比谷線,八丁堀,8,17971,東京都,中央区,新川１,35.6764144,139.7837401
2191,マンション高輪苑,3980,東京都港区高輪１,41.85,1LDK,5.56,1973-10-01,東京メトロ南北線,白金高輪,5,18275,東京都,港区,高輪１,35.6403663,139.7339083
2192,ヴィラロイヤル平河,3980,東京都千代田区平河町１-7-5,40.96,1LDK,4.88,1973-03-01,東京メトロ半蔵門線,半蔵門,3,18489,東京都,千代田区,平河町,35.6822517,139.7409932
2193,グランテラッセ西早稲田,3980,東京都新宿区西早稲田３,47.61,1LDK,2.9,1984-07-01,ＪＲ山手線,高田馬場,13,14349,東京都,新宿区,西早稲田３,35.7113392,139.7134765
2194,Villa 高輪,3980,東京都港区高輪４,37.38,1DK,,1969-04-01,都営浅草線,高輪台,5,19919,東京都,港区,高輪４,35.626783,139.7358241
2195,ワコーレ第二千石,3980,東京都文京区千石４,46.44,2LDK,3.9,1986-09-01,都営三田線,千石,3,13557,東京都,文京区,千石４,35.7289907,139.7402946
2196,ニュー・ステイト・メナー,3980,東京都渋谷区代々木２,34.92,ワンルーム,2.75,1976-05-01,京王新線,新宿,4,17332,東京都,渋谷区,代々木２,35.6856856,139.6981574
2197,藤和八丁堀コープ,3980,東京都中央区湊１,51.82,2LDK,5.2,1978-07-01,東京メトロ日比谷線,八丁堀,5,16541,東京都,中央区,湊１,35.672582,139.7799054
2198,モナーク千駄木,3980,東京都文京区千駄木３,44.91,1LDK,7.45,1977-01-01,ＪＲ山手線,西日暮里,5,17087,東京都,文京区,千駄木３,35.7273826,139.7620134
